gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Cluster
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,2400,1
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,2157,0
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,1879,2
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,3342,1
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,3275,0
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,982,0
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,56,1
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,3285,1
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,11,0
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,1152,1
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,2947,0
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,2423,2
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,2873,2
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,2964,2
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,3287,0
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,2063,2
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,134,1
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,106,1
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,1129,2
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,853,1
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,783,1
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,1614,2
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,1357,2
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,3004,2
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,1,0
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,2915,2
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,3288,1
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,1725,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,349,1
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,2260,2
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,1365,1
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,1736,0
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,1286,0
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,1540,2
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,1101,1
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,127,1
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,67,0
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,3160,1
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,943,0
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,2353,2
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,123,1
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1015,0
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,1572,1
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,2597,1
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,1359,1
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,933,0
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,647,2
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,789,1
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,1751,2
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,218,0
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,471,2
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,1471,1
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,1569,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,3099,0
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,186,1
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,680,0
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,272,1
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,171,1
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,2837,0
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,2667,2
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,2392,0
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,2520,2
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,2275,2
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,671,2
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,2665,2
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,2561,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,1959,0
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,807,1
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,74,1
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,2395,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,2701,0
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,3066,2
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,2252,2
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,133,1
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,155,0
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,720,0
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,1834,1
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,28,1
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,1125,1
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,3009,0
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,541,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,338,0
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,1739,2
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1029,1
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,350,1
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,1235,0
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,2614,2
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,1194,0
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,1442,1
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,1586,1
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,1071,2
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,179,1
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,2180,2
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,2696,1
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,3036,1
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,150,0
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,2189,0
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,518,2
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,247,1
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,1302,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,1955,0
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,2720,0
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,1090,1
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,116,0
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,1060,0
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,25,0
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,3125,0
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,1081,1
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,1051,0
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,1424,2
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,2281,0
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,358,1
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,3111,2
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,194,1
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,799,1
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,2477,1
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,2687,2
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,3088,2
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,862,1
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,1213,2
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,117,0
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,2953,2
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,36,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,1324,0
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,1216,0
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,1827,2
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,3061,0
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,811,2
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,2727,2
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,3168,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,1117,0
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,126,1
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,2305,1
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,840,0
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,1542,2
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,1406,1
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,1671,2
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,2284,2
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,2610,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,1209,0
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,727,1
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,853,1
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,693,0
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,963,1
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,280,0
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,1137,2
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,2339,0
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,1233,0
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,1788,2
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,2442,2
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,2061,2
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,3169,0
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,524,1
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,2845,1
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,145,0
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,1335,0
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,299,0
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,124,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,1275,1
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,2648,2
1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,3047,2
0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,1429,2
0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,2571,2
0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,2917,0
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,1238,0
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,1134,0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,78,0
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,2079,0
1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,1863,2
0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,2017,2
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,448,0
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,1754,0
1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,1181,2
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,808,0
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,1787,2
0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,2843,2
1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,2450,2
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,3079,0
0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,225,0
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,311,0
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,351,0
1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,2146,0
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,490,1
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,2190,2
0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,2356,2
1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,197,1
0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,870,0
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,101,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,651,1
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,482,0
1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,1548,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,1060,0
1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,955,2
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,2839,0
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,1758,0
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,2390,2
1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,325,0
1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55.0,3020,0
0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,50.55,1080,0
0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,1450,0
0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,2165,0
0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,1119,1
0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,54.45,1642,0
1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,682,0
0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,76.0,688,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,3286,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,2832,0
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,2550,0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,1888,0
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,638,0
1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,61.2,881,1
1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,817,1
0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,2406,0
0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.7,969,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,854,1
0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,2315,1
1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,1543,2
1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,1350,2
0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,2914,0
1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,477,0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1742,0
1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,1595,0
0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,1791,2
1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,81.85,1408,0
1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,226,1
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,1020,0
1,0,1,1,29,1,0,0,0,0,2,2,2,2,2,0,3,75.55,896,1
1,1,1,1,38,1,2,1,0,2,0,0,2,2,0,0,2,101.15,1662,2
1,0,0,1,48,1,2,0,2,0,2,0,2,2,1,1,1,78.75,1640,2
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,19.25,780,0
0,0,0,0,22,1,0,1,2,0,0,2,0,2,0,1,2,89.05,766,0
0,0,0,0,43,1,2,1,2,2,2,2,2,2,2,0,1,115.05,2120,2
0,1,1,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.35,1532,0
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,1811,0
1,0,1,1,51,1,2,1,2,2,0,2,2,2,1,0,1,110.05,2413,2
1,0,0,0,71,1,0,2,1,1,1,1,1,1,2,1,1,19.9,342,1
0,0,1,1,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,1372,2
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,988,0
1,0,1,0,35,1,2,1,0,0,0,2,2,0,0,1,1,91.5,1456,0
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,1890,2
0,0,1,1,72,0,1,0,0,2,2,2,2,2,2,1,2,60.0,1857,2
